Title,Detail,Rating
파라다이스 위 프라이빗한 대저택,"파라다이스에 지어진 대저택에 살다온 기분이었어요.  200여개가 넘는 방과 몇십개의 레스토랑, 다이브샵, 심지어 테니스장까지 구비된 이루푸시 리조트는 몰디브에서 가장 큰 리조트 중 하나라는 명성에 걸맞게 온갖 종류의 편의시설이 구비된 하나의 성 같았어요.  이루푸시가 인상적이었던 이유는 개인 집사 서비스가 있어서, 필요한 것에 대해 언제든지 문자를 보내 빠르게 응답받을 수 있다는 것이었어요. 큰 리조트임에도 불편함 없이 그저 즐기기만 하면 되는 시스템에 내가 마치 미국드라마 안투라지의 주인공이 된 것 같았어요.  바다는 투명한 에메랄드 빛, 내륙은 초록초록한 코코넛 나무들이, 바닥은 곱고 하얀 모래가. 꿈에 그렸던 파라다이스 그대로였어요. 특히 리조트 내 또하나의 리조트 같은 스파는 특유의 꽃내음과 함께 릴렉스되는 마사지로 몰디브까지 여정의 피로를 제대로 풀어주었어요. 매년 상을 받았다고 해서 얼마나 좋을지 기대했는데 기대만큼 정말 좋았고 힐링되는 시간이었어요.  저희 커플은 스노클링, 프리다이빙을 워낙 좋아하는 터라 스노클, 핀 장비도 다 챙겨 다니는데 이 리조트는 건강한 니모 군락을 가지고 있고 다른 다이빙 투어에서도 보기 힘든 너스샤크도 리조트 바로 앞바다에서 만날 수 있어서 특히 너무 좋았습니다.   다이빙을 다 끝내고 바다에 연결된 발코니를 통해 집으로 올라오면, 발코니에 구비된 따뜻한 자쿠지에 그대로 들어가 그날의 선셋을 감상했어요. 그때 본 선셋의 느낌과 기억은 이 여행의 베스트컷으로 남아있습니다.  몰디브 바다 한 가운데 프라이버시가 보장된 이 리조트는 방에만 있어도 너무",5.0
"어떤 방식을 원하던, 바라던 모든 것을 충족시켜주는 리조트!","선셋 호라이즌 비치 빌라에서 올인클루시브로 묶었습니다. 방 바로 아래 펼쳐진 아름다운 산호초를 바라보다 발코니 따듯한 자쿠지에 누워 샴페인을 마시며 석양을 바라보곤, 해변의 레스토랑에서 해산물 바베큐를 먹으며 하루를 마무리하는 멋진 시간을 보냈습니다.   너스샤크를 비롯해, 트레발리, 니모, 패럿 피쉬, 나이젤 트리거피쉬에서 파우더탱까지 주변 산호와 바다 생물들이 건강한 모습을 하고 있는 것도 정말 좋았습니다.   모든 게스트에게 제공되는 프라이빗 버틀러 서비스를 제외하고서도, 엄청난 규모의 객실을 가진 리조트임에도 불구하고 직원 한명 한명이 게스트들의 이름과 방을 모두 외우고, 일정을 기억해주며 한명 한명 맞춤 서비스를 제공해주는 것도 정말 좋았습니다!   강추!!",5.0
Irufushi is best♡!!!!!정말최고의여행이였어요,너무행복했어요 신혼여행으로왔는데 매매일이 너무아쉽고즐거웠어요 또 허니문이라고 계속 작은이벤트해주시는데 감동이고 직원분들너무귀엽고 친절하고 다했습니다 넘 조아요♡♡추천해요,5.0
꿈같았던 이루푸시 몰디브 여행,"꿈같았던 몰디브 이루푸시 여행.  숙소로 정한 워터빌라는 내가 그동안 여행하면서 경험해보지 못했던 새로운 신세계였다. 친절한 직원들과 잘 갖춰진 부대시설 훌륭한 수중환경 최고라고 할수있는 워터빌라숙소까지, 다시 가고싶다 이루푸시. 최고였다.",5.0
몰디브에서 제일 많은 레스토랑을 보유한 리조트,"우기가 아니었음에도 여행기간 내내 비가 내렸다. 다행히 리조트에서 12개의 다양한 레스토랑을 보유하고 있어서 이태리, 프렌치, 타이, 아메리칸 다양한 식사를 하며 시간을 보낼 수 있었다. 직원들은 대부분 친절하고 특히 레스토랑 직원들이 매우 친절하다. 비가와서 상어무리를 못본 우리에게 다른 종류의 물고기를 보여주었다. 다만 우리를 담당한 버틀러만 제외하고 모두들 친절했다.   룸 내에서 USB나 CD를 통해 영화를 볼 수 없는 점은 매우 안타까웠다.",4.0
도난사건,"여기서 있었던 현금도난 사건에 관해 오래전에 리뷰했는데 등록이 되지 않는군요. 다시 씁니다!!  절대 금고외의 곳에 가방을 맡기지 마세요. (water villa포함). 가방속에 있던 지갑의 현금을 몽땅 도둑맞았습니다. 직원 중 한명이 범인이라고 생각하지만 호텔측에서는 아무런, 정말 아무런 조치도 없었습니다. 아래 리뷰에서도 같은 경험을 한 여행자가 있는 것으로 보아 손버릇이 나쁜 직원이 한명 있는가 봅니다.   자쿠지에서는 오랫동안 일광에 노출되어서 그런지 플라스틱(녹는) 냄새가 나서 별로 이용하지 않았습니다. 파도가 수상방갈로에 접한 바다쪽은 파도가 제법 센편입니다. 객실 내의 오디오 시스템은 좋았던 점 중 하나입니다. 조식은 구색은 갖추고 있지만 맛있는 것은 없었으며 태국레스토랑이 제일 먹을만 하다고 생각합니다.  이 리조트는 손버릇 나쁜 직원관리가 가장 문제이겠네요.",1.0
도둑맞음. 최악 최악 최악.,"힐튼 몰디브 Iru Fushi로 신혼여행 갔습니다. 1주일 있었고요. 도착했을 때 Water Villa 데스크에 맡긴 가방 안에 지갑을 넣어두었는데, 이후로 돈을 쓸 일이 없기 때문에 일주일 동안 지갑을 거기에 둔 것도 잊었습니다.  마지막 날에 여행가방을 챙기면서 지갑을 찾아보니 지갑과 현금이 없어졌습니다! 1,000유로를 도둑맞았습니다.  매니저와 이야기를 하니 보안 책임자와 경찰이 섬으로 왔습니다. 예정된 마사지도 못 받고 마지막 날을 최악으로 보냈지만, 호텔 측에서는 어떤 식으로도 전혀 배려가 없었습니다.  경찰에 접수만 하고 호텔 비용은 전부 내야 했습니다.  힐튼호텔 여러 곳을 가 봤지만 이런 문제는 단 한 번도 없었습니다. 몰디브에 가면 보통 신혼여행으로 가는 것이고 쉬러 가는 건데...이건 악몽입니다.  어떻게 최고급 호텔이고 섬인데 이런 일에 대해서 전혀 배려나 대응이 없는지 이해가 안 됩니다!! 매니저는 모든 것이 수사 중이고 나중에 진행 상황을 알려준다고 했습니다..하지만 5개월이 지나도록 연락이 없습니다. 최악입니다.",1.0
몰디브란 이런 곳이야!! 느낌의 리조트,"디럭스 비치 빌라에 숙박. 객실은 넓고 쾌적. 밖으로는 객실과 같은 넓이에 전용 제트바스. 샤워부스(두곳), 세면실, 화장실이 있습니다. 정말 멋진 공간입니다.  비치와 풀장 모두 사람이 없어 여유있는 시간을 보냈습니다. 저녁은 빨리 예약을 해둬야합니다. 그때 기분에 따라 먹지 뭐...하다가는 가고 싶은 레스토랑은 벌써 꽉차서 못들어 가는 경우가 있었습니다. 결국 뷔페 레스토랑으로 갈 수 밖에 없었지요.(뷔페는 예약 필요 없음)  이 리조트는 수상 비행기를 타지 않으면 갈 수 없는 곳이지만 그것 또한 멋진 경험이 됐습니다. 수상 비행기 터미널의 힐튼 전용 VIP 대기실이 준비되어 있고 그곳에서 탑승시간까지 음료나 가벼운 식사를 즐기며 기다리면 됩니다. 수상 비행기 안에서는 아래로 산호초 가득한 바다를 볼 수 있는 최고의 경험을 했습니다.",4.0
순수한 천국,"Iru fushi 7일 밤을 묵었는데 sun siyam 제가 신혼여행이 되어서 정말 기쁩니다. 공항 라운지에서 마시는 이별의 액세스할 때까지, 우리는 이 리조트에서 작업을 모두 친절하게 느껴지지 었다. 우리가 묵었던 워터 빌라는 순수한 럭셔리. 객실은 아름답게 디자인 되고 직접 액세스를 제공하는 라군과 야외 데크가 있는 곳에서 진정 개인. 가장 큰 놀라움을 주는 음식 이었어요. 해 하고 있는 일은 하지 않을 수 있습니다 포로 관객 의 수준 높은 음식 할 수 있습니다. 맛 좋은 모든 것을 우리는 놀랐습니다. 이 리조트는 여러 레스토랑. 인도에서 먹은 맛 (우리가 제일 좋아하는, 이 트리오 (이탈리아), 뱀부 아일랜드의 그릴 (해산물) 및 베트남어). 정말 즐거운 저녁 식사 이 한 뷔페식 아침 식사는 다양한 종류의 차갑고 뜨거운 매일 바뀌지 제품들을 보관하는 것. 이 리조트는 아름다운 일몰을 볼 수 있는 성인 전용 수영장이 있다. 이 리조트는 각 객실에 객실 담당자 및 도움말 링크를 통해 책임사용자는 매일 섬에서 즐거운 경험. 지라 일, 집사, 매우 친절하고 도움이 되었습니다. 그는 정말 한 가장 좋은 시간을 가지도록 해. 내 아내는 사소한 문제이기는 하지만 온천 해결되었습니다. 한 해변 이 섬에 있는 완벽한 그림. 여러 사람들이 우리가 일주일에 하는 것이 몰디브 를 사용하면 할 것. 해양 스포츠를 즐길 수 있는 다양한 활동을 하고 있고 오락실 에서 게임 콘솔에서 편안하게 묵을 수 있는 두 번째 줍니다. 순수한 천국!",5.0
사람들은 놀라운 장소 &,"필자는 수많은 섬을 방문하는 놀라운 경험이 태평양 과 카리브 해의 비교 대상이 없음. 친절한 직원들은 매우 친절하고 도움이 되었습니다. 7개월 된 아기 를 들을 수 있는 특별한 주의를 준 그녀. 두 번째 평면에 발을 디딜 어 같은 느낌을 받는 놀라운 서비스. 릴리 패키지를 선택했는데 저희가 해변의 빌라에서 3일을 2 일 과 워터 빌라. 이는 가장 좋은 방법은 두 옵션 모두 그러길 정말 잘한 게 했다. 뷔페식 아침 식사와 저녁 식사는 훌륭한 거대한 선택. 시설 정보와 편의 시설이 화려한. 정말 추천 할 곳이 없는, 5성급 호텔과 리조트들이 이 호텔은 세계에서 가장 좋은 경험을 하는 동안 이 다. 개인적인 라운지에서 시간을 보내는 동안 바다를 바다 비행기 완료될 때까지 기다립니다. 이는 훌륭한 시설과 뷰, 샤워 시설 및 욕조가 있는 거대한 비 알코올 음료 무료 뷔페 선택할 수 있습니다. 또한 개인적인 수집 및 드라이브를 남성 운전 기사를 공항에서 5분 정도 떨어진 곳에서 기다리는 동안 라운지에서 45분 수상 비행기를 타고 럭셔리 함에 리조트 입니다. 스파는 아름답다고 생각하는 합리적인 가격의 거대한 양의 처리 옵션을. 나는 작은 양의 조사 후 우리는 예약을 한 이후에 궁금해 할 것이지만 다른 리조트를 선택하는 경우 다음 을 선택한 것이 확실하게 하고, 우리가 한 정류장에서 내려서 집으로 가는 길에 다른 리조트 직원들은 이 호텔처럼 고급스러움. 고마운 사람 이 휴가를 손꼽아 기다리고 있는 오! 또한 몰디브로 술을 가지고 우리 것은 이륙 yiu 수를 공항에서 떠날 때 에, 우리가 이 법에 없는",5.0
